figure_panel,smoother,damping,rho
5a,ElementVanka,0.92,0.251417059391023
5a,ElementVanka,0.93,0.243280288297447
5a,ElementVanka,0.94,0.235143517203872
5a,ElementVanka,0.95,0.227006746110296
5a,ElementVanka,0.96,0.21886997501672
5a,ElementVanka,0.97,0.210733203923144
5a,ElementVanka,0.98,0.215029018385399
5a,ElementVanka,0.99,0.227427273675046
5a,ElementVanka,1,0.239825528964693
5b,PlusVanka,0.81,0.38256496220615
5b,PlusVanka,0.82,0.374942307418571
5b,PlusVanka,0.83,0.367319652630993
5b,PlusVanka,0.84,0.359696997843415
5b,PlusVanka,0.85,0.352074343055836
5b,PlusVanka,0.86,0.344451688268258
5b,PlusVanka,0.87,0.33682903348068
5b,PlusVanka,0.88,0.338045698485794
5b,PlusVanka,0.89,0.353250763241315
5c,RBVanka,0.79,0.5688820354985
5c,RBVanka,0.8,0.563424846074431
5c,RBVanka,0.81,0.557967656650361
5c,RBVanka,0.82,0.552510467226291
5c,RBVanka,0.83,0.547053277802221
5c,RBVanka,0.84,0.56504741621478
5c,RBVanka,0.85,0.583678933074479
5c,RBVanka,0.86,0.602310449934179
5c,RBVanka,0.87,0.620941966793879
