smoother,iteration,residual,error
ElementVanka,1,0.15947494233291418,1.0
ElementVanka,2,0.028649579990078635,0.1751745214773152
ElementVanka,3,0.00569555125701619,0.03575536206391646
ElementVanka,4,0.0012892564867657424,0.00851302609626887
ElementVanka,5,0.00033541381241807954,0.002313326428748813
ElementVanka,6,9.655365606375503e-5,0.0006823412248783464
ElementVanka,7,2.935297958705876e-5,0.00020976132620931551
ElementVanka,8,9.159721702729654e-6,6.579681350679168e-5
ElementVanka,9,2.896091850880613e-6,2.086229187911946e-5
ElementVanka,10,9.226187144708713e-7,6.658714751083088e-6
ElementVanka,11,2.954091960569556e-7,2.135119591681789e-6
ElementVanka,12,9.494202269667051e-8,6.870337894406944e-7
ElementVanka,13,3.0604949086951415e-8,2.2169519187168444e-7
ElementVanka,14,9.890013740150472e-9,7.170440217930181e-8
ElementVanka,15,3.202630487095418e-9,2.3237488934316124e-8
ElementVanka,16,1.0389425998859706e-9,7.5433398841422e-9
ElementVanka,17,3.3755686914946874e-10,2.4522850305306703e-9
