smoother,iteration,residual,error
PlusVanka,1,0.13388749325258537,1.0
PlusVanka,2,0.031188308356873064,0.23274377680451244
PlusVanka,3,0.008300477695678965,0.06258790721441182
PlusVanka,4,0.0023360486661301036,0.017864613133334355
PlusVanka,5,0.0006782710649531425,0.005270298369994447
PlusVanka,6,0.0002009163592968242,0.001588051039301064
PlusVanka,7,6.035272063269911e-5,0.0004856590027375502
PlusVanka,8,1.8317807916896196e-5,0.0001501732423511444
PlusVanka,9,5.6043639729523855e-6,4.68371707516977e-5
PlusVanka,10,1.7256972703591287e-6,1.4709712121826066e-5
PlusVanka,11,5.341894334058237e-7,4.646403108667096e-6
PlusVanka,12,1.6609672666492258e-7,1.4748530549198316e-6
PlusVanka,13,5.184307509964978e-8,4.701176439321316e-7
PlusVanka,14,1.623601349186241e-8,1.504055635883677e-7
PlusVanka,15,5.099953721674433e-9,4.827653624761423e-8
PlusVanka,16,1.6062975751678937e-9,1.5540869186623078e-8
PlusVanka,17,5.071774086860548e-10,5.015985393257385e-9
