smoother,iteration,residual,error
RBVanka,1,0.2597690539999511,1.0
RBVanka,2,0.10723523406419677,0.4029273514150935
RBVanka,3,0.04954288174264721,0.183696433545586
RBVanka,4,0.024121512623301374,0.08855554092320406
RBVanka,5,0.01212413218755986,0.044124403037832896
RBVanka,6,0.006232336521229999,0.022494182922638963
RBVanka,7,0.0032604006714250333,0.011670932519082562
RBVanka,8,0.0017309731472931749,0.006144608271233169
RBVanka,9,0.0009310191541298581,0.0032770319839001377
RBVanka,10,0.0005067306811024024,0.0017684045999048954
RBVanka,11,0.0002788514423674208,0.0009649047562236387
RBVanka,12,0.0001550358395082612,0.0005320276504097532
RBVanka,13,8.702747440686777e-5,0.0002962877217617033
RBVanka,14,4.9288630820436394e-5,0.00016656773143228356
RBVanka,15,2.814463585847571e-5,9.447528901868848e-5
RBVanka,16,1.6191593899123143e-5,5.4029268551222005e-5
RBVanka,17,9.378189416740768e-6,3.113364585249333e-5
RBVanka,18,5.464890724700168e-6,1.80649118447859e-5
RBVanka,19,3.2018217914971935e-6,1.0547337336652755e-5
RBVanka,20,1.884971600214083e-6,6.192769214625233e-6
RBVanka,21,1.114490681528237e-6,3.654164352122997e-6
RBVanka,22,6.614641369163676e-7,2.165863976887684e-6
RBVanka,23,3.939334657829811e-7,1.2888214865864683e-6
RBVanka,24,2.3532860886217026e-7,7.696671456069891e-7
RBVanka,25,1.4097415285288764e-7,4.611015221678985e-7
RBVanka,26,8.466629195333035e-8,2.770437737369755e-7
RBVanka,27,5.0968611827955776e-8,1.66894472564852e-7
RBVanka,28,3.074983026231908e-8,1.0078257479507605e-7
RBVanka,29,1.8589635993844442e-8,6.099570438392683e-8
RBVanka,30,1.125994087107065e-8,3.69925485326152e-8
RBVanka,31,6.832745042612846e-9,2.2478952571454133e-8
RBVanka,32,4.1534688074995575e-9,1.368453740122059e-8
RBVanka,33,2.5290042366593737e-9,8.34521801345098e-9
RBVanka,34,1.5423453294216556e-9,5.097453541192163e-9
RBVanka,35,9.420594291771533e-10,3.118507722632197e-9
