smoother,model,shift,iterations
Jacobi,linear025,0.17,244
Jacobi,linear025,0.19,203
Jacobi,linear025,0.21,184
Jacobi,linear025,0.23,174
Jacobi,linear025,0.25,171
Jacobi,linear025,0.27,165
Jacobi,wedge025,0.17,1000
Jacobi,wedge025,0.19,1000
Jacobi,wedge025,0.21,1000
Jacobi,wedge025,0.23,173
Jacobi,wedge025,0.25,155
Jacobi,wedge025,0.27,145
Jacobi,linear005,0.17,181
Jacobi,linear005,0.19,171
Jacobi,linear005,0.21,164
Jacobi,linear005,0.23,157
Jacobi,linear005,0.25,154
Jacobi,linear005,0.27,150
Jacobi,wedge005,0.17,1000
Jacobi,wedge005,0.19,1000
Jacobi,wedge005,0.21,1000
Jacobi,wedge005,0.23,394
Jacobi,wedge005,0.25,240
Jacobi,wedge005,0.27,212
RB,linear025,0.17,85
RB,linear025,0.19,80
RB,linear025,0.21,77
RB,linear025,0.23,76
RB,linear025,0.25,76
RB,linear025,0.27,76
RB,wedge025,0.17,88
RB,wedge025,0.19,67
RB,wedge025,0.21,68
RB,wedge025,0.23,69
RB,wedge025,0.25,71
RB,wedge025,0.27,73
RB,linear005,0.17,78
RB,linear005,0.19,75
RB,linear005,0.21,74
RB,linear005,0.23,70
RB,linear005,0.25,70
RB,linear005,0.27,70
RB,wedge005,0.17,200
RB,wedge005,0.19,129
RB,wedge005,0.21,118
RB,wedge005,0.23,114
RB,wedge005,0.25,111
RB,wedge005,0.27,112
