Smoother,Grid,Frequency,Bicubic,Mixed,LevDep
"Jacobi, alpha=0.3",128x128,25.6*pi,39 (35),32 (30),35 (32)
"Jacobi, alpha=0.3",256x256,51.2*pi,70 (62),63 (55),64 (57)
"Jacobi, alpha=0.3",512x512,102.4*pi,124 (115),111 (102),114 (102)
"Element, alpha=0.25",128x128,25.6*pi,22 (21),23 (22),23 (23)
"Element, alpha=0.25",256x256,51.2*pi,40 (37),41 (38),42 (39)
"Element, alpha=0.25",512x512,102.4*pi,74 (67),75 (69),75 (69)
,,,,,
"Plus, alpha=0.25",128x128,25.6*pi,26 (25),26 (24),27 (25)
"Plus, alpha=0.25",256x256,51.2*pi,45 (41),55 (45),47 (43)
"Plus, alpha=0.25",512x512,102.4*pi,79 (71),100 (88),82 (74)
"RB, alpha=0.18",128x128,25.6*pi,20 (20),26 (25),20 (20)
"RB, alpha=0.18",256x256,51.2*pi,36 (33),48 (44),36 (31)
"RB, alpha=0.18",512x512,102.4*pi,64 (58),90 (85),63 (55)
